1.data,2.data,3.data,4.data,5.data,6.data,7.data
0.7898,0.8994,0.9716,,0.8952,,0.6404
0.6536,0.7443,0.7983,0.8146,0.7408,0.5141,0.5299
0.6536,0.7443,0.7983,0.8146,0.7408,0.5141,0.5299
0.6536,0.7443,0.7983,0.8146,0.7408,0.5141,0.5299
0.5575,0.6348,0.6683,0.6948,0.6319,0.4385,0.452
0.5575,0.6348,0.6683,0.6948,0.6319,0.4385,0.452
0.5575,0.6348,0.6683,0.6948,0.6319,0.4385,0.452
0.8024,0.9137,1.0,1.0,0.9094,1.0,0.6505
0.8024,0.9137,1.0,,0.9094,,0.6505
0.8024,0.9137,1.0,,0.9094,,0.6505
0.664,0.7561,0.811,0.8276,0.7526,0.5222,0.5383
0.664,0.7561,0.811,0.8276,0.7526,0.5222,0.5383
0.664,0.7561,0.811,0.8276,0.7526,0.5222,0.5383
0.5663,0.6449,0.6789,0.7058,0.6419,0.4454,0.4592
0.5663,0.6449,0.6789,0.7058,0.6419,0.4454,0.4592
0.5663,0.6449,0.6789,0.7058,0.6419,0.4454,0.4592
0.8149,0.928,1.0,1.0,0.9236,1.0,0.6607
0.8149,0.928,1.0,,0.9236,,0.6607
0.8149,0.928,1.0,,0.9236,,0.6607
0.6744,0.7679,0.8237,0.8405,0.7643,0.5304,0.5468
0.6744,0.7679,0.8237,0.8405,0.7643,0.5304,0.5468
0.6744,0.7679,0.8237,0.8405,0.7643,0.5304,0.5468
0.5752,0.655,0.6895,0.7169,0.6519,0.4524,0.4663
0.5752,0.655,0.6895,0.7169,0.6519,0.4524,0.4663
0.5752,0.655,0.6895,0.7169,0.6519,0.4524,0.4663
0.7898,0.8994,0.9714,0.9844,0.8952,0.6212,0.6404
0.7898,0.8994,0.9714,0.9844,0.8952,0.9881,0.6404
0.7898,0.8994,0.9715,,0.8952,,0.6404
0.6536,0.7443,0.7983,0.8146,0.7408,0.5141,0.5299
0.6536,0.7443,0.7983,0.8146,0.7408,0.5141,0.5299
0.6536,0.7443,0.7983,0.8146,0.7408,0.5141,0.5299
0.5575,0.6348,0.6683,0.6948,0.6319,0.4385,0.452
0.5575,0.6348,0.6683,0.6948,0.6319,0.4385,0.452
0.5575,0.6348,0.6683,0.6948,0.6319,0.4385,0.452
0.8024,0.9137,1.0,1.0,0.9094,0.6311,0.6505
0.8024,0.9137,1.0,1.0,0.9094,1.0,0.6505
0.8024,0.9137,1.0,,0.9094,,0.6505
0.664,0.7561,0.811,0.8276,0.7526,0.5222,0.5383
0.664,0.7561,0.811,0.8276,0.7526,0.5222,0.5383
0.664,0.7561,0.811,0.8276,0.7526,0.5222,0.5383
0.5663,0.6449,0.6789,0.7058,0.6419,0.4454,0.4592
0.5663,0.6449,0.6789,0.7058,0.6419,0.4454,0.4592
0.5663,0.6449,0.6789,0.7058,0.6419,0.4454,0.4592
0.8149,0.928,1.0,1.0,0.9236,0.6409,0.6607
0.8149,0.928,1.0,1.0,0.9236,1.0,0.6607
0.8149,0.928,1.0,,0.9236,,0.6607
0.6744,0.7679,0.8237,0.8405,0.7643,0.5304,0.5468
0.6744,0.7679,0.8237,0.8405,0.7643,0.5304,0.5468
0.6744,0.7679,0.8237,0.8405,0.7643,0.5304,0.5468
0.5752,0.655,0.6895,0.7169,0.6519,0.4524,0.4663
0.5752,0.655,0.6895,0.7169,0.6519,0.4524,0.4663
0.5752,0.655,0.6895,0.7169,0.6519,0.4524,0.4663
0.7898,0.8994,0.9714,0.9844,0.8952,0.6212,0.6404
0.7898,0.8994,0.9714,0.9844,0.8952,0.7424,0.6404
0.7898,0.8994,0.9714,0.9844,0.8952,0.9881,0.6404
0.6536,0.7443,0.7983,0.8146,0.7408,0.5141,0.5299
0.6536,0.7443,0.7983,0.8146,0.7408,0.5141,0.5299
0.6536,0.7443,0.7983,0.8146,0.7408,0.5141,0.5299
0.5575,0.6348,0.6683,0.6948,0.6319,0.4385,0.452
0.5575,0.6348,0.6683,0.6948,0.6319,0.4385,0.452
0.5575,0.6348,0.6683,0.6948,0.6319,0.4385,0.452
