1.data,2.data,3.data,4.data,5.data,6.data,7.data
1.0,0.82,0.98,0.96,0.63,0.64,1.0
1.0,0.82,0.99,0.96,0.63,0.65,1.0
1.0,0.89,,,0.68,,1.0
1.0,0.89,,,0.68,,1.0
1.0,0.89,,,0.68,,1.0
1.0,0.85,1.0,1.0,0.65,0.84,1.0
1.0,0.85,1.0,1.0,0.65,1.0,1.0
1.0,0.85,,,0.65,1.0,1.0
1.0,0.82,0.99,0.96,0.63,0.6,1.0
1.0,0.82,0.99,0.96,0.63,0.64,1.0
1.0,0.82,0.99,0.96,0.63,0.66,1.0
1.0,0.89,,,0.68,,1.0
1.0,0.89,,,0.68,,1.0
1.0,0.89,,,0.68,,1.0
1.0,0.85,1.0,1.0,0.65,0.84,1.0
1.0,0.85,1.0,1.0,0.65,1.0,1.0
1.0,0.85,,,0.65,1.0,1.0
1.0,0.82,0.99,0.96,0.63,0.6,1.0
1.0,0.82,0.99,0.96,0.63,0.64,1.0
1.0,0.82,0.99,0.96,0.63,0.66,1.0
1.0,0.88,,,0.68,,1.0
1.0,0.88,,,0.68,,1.0
1.0,0.88,,,0.68,,1.0
1.0,0.85,1.0,1.0,0.65,0.83,1.0
1.0,0.85,1.0,1.0,0.65,0.98,1.0
1.0,0.85,1.0,1.0,0.65,0.98,1.0
1.0,0.82,0.98,0.96,0.63,0.6,1.0
1.0,0.82,0.98,0.96,0.63,0.64,1.0
1.0,0.82,0.98,0.96,0.63,0.65,1.0
1.0,0.89,,,0.68,,1.0
1.0,0.89,,,0.68,,1.0
1.0,0.89,,,0.68,,1.0
1.0,0.85,1.0,1.0,0.65,0.84,1.0
1.0,0.85,1.0,1.0,0.65,1.0,1.0
1.0,0.85,1.0,1.0,0.65,1.0,1.0
1.0,0.82,0.99,0.96,0.63,0.6,1.0
1.0,0.82,0.99,0.96,0.63,0.64,1.0
1.0,0.82,0.99,0.96,0.63,0.66,1.0
1.0,0.89,,,0.68,,1.0
1.0,0.89,,,0.68,,1.0
1.0,0.89,,,0.68,,1.0
1.0,0.85,1.0,1.0,0.65,0.84,1.0
1.0,0.85,1.0,1.0,0.65,1.0,1.0
1.0,0.85,1.0,1.0,0.65,1.0,1.0
1.0,0.82,0.99,0.96,0.63,0.6,1.0
1.0,0.82,0.99,0.96,0.63,0.64,1.0
1.0,0.82,0.99,0.96,0.63,0.66,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.88,,,0.67,,1.0
1.0,0.88,,,0.67,,1.0
1.0,0.88,,,0.67,,1.0
1.0,0.85,1.0,1.0,0.64,0.98,1.0
1.0,0.85,,,0.64,,1.0
1.0,0.85,,,0.64,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.89,,,0.67,,1.0
1.0,0.89,,,0.67,,1.0
1.0,0.89,,,0.67,,1.0
1.0,0.85,1.0,1.0,0.65,1.0,1.0
1.0,0.85,,,0.65,,1.0
1.0,0.85,,,0.65,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.89,,,0.67,,1.0
1.0,0.89,,,0.67,,1.0
1.0,0.89,,,0.67,,1.0
1.0,0.85,1.0,1.0,0.65,1.0,1.0
1.0,0.85,,,0.65,,1.0
1.0,0.85,,,0.65,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.88,,,0.67,,1.0
1.0,0.88,,,0.67,,1.0
1.0,0.88,,,0.67,,1.0
1.0,0.85,1.0,1.0,0.64,0.84,1.0
1.0,0.85,1.0,1.0,0.64,0.98,1.0
1.0,0.85,,,0.64,0.98,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.89,,,0.67,,1.0
1.0,0.89,,,0.67,,1.0
1.0,0.89,,,0.67,,1.0
1.0,0.85,1.0,1.0,0.65,0.86,1.0
1.0,0.85,1.0,1.0,0.65,1.0,1.0
1.0,0.85,,,0.65,1.0,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.89,,,0.67,,1.0
1.0,0.89,,,0.67,,1.0
1.0,0.89,,,0.67,,1.0
1.0,0.85,1.0,1.0,0.65,0.86,1.0
1.0,0.85,1.0,1.0,0.65,1.0,1.0
1.0,0.85,,,0.65,1.0,1.0
1.0,0.92,,,0.7,,1.0
